order_id,order_date,region,channel,product_category,product_name,quantity,unit_price,amount,discount_pct,status,customer_type
ORD-055,2025-01-20,South,retail,Apparel,Formal Trousers,4,1799,7196,0,shipped,retail
ORD-056,2025-01-27,NE,online,Sports,Skipping Rope,7,499,3493,0,shipped,retail
ORD-057,2025-02-03,North,direct,Food,Matcha Powder 100g,5,899,4495,0,returned,retail
ORD-058,2025-02-10,East,retail,Electronics,Webcam 1080p,3,2999,8997,0,shipped,retail
ORD-059,2025-02-17,West,wholesale,Home,Curtain Rod Set,12,799,9588,5,shipped,business
ORD-060,2025-02-24,Central,online,Sports,Gym Gloves,6,599,3594,0,shipped,retail
ORD-061,2025-03-03,South,online,Electronics,Tablet Stand,4,1299,5196,0,shipped,retail
ORD-062,2025-03-10,NE,direct,Apparel,Hoodie,5,1999,9995,5,shipped,retail
ORD-063,2025-03-17,North,retail,Food,Dried Mango 200g,8,349,2792,0,shipped,retail
ORD-064,2025-03-24,East,wholesale,Home,Storage Basket Set,10,1499,14990,8,shipped,business
ORD-065,2025-04-01,West,online,Sports,Running Shoes,2,4999,9998,10,returned,retail
ORD-066,2025-04-08,Central,retail,Electronics,Smart Plug x4,6,1299,7794,0,shipped,retail
ORD-067,2025-04-15,South,direct,Apparel,Cargo Shorts,4,1299,5196,0,shipped,retail
ORD-068,2025-04-22,NE,online,Food,Greek Yogurt x6,9,249,2241,0,shipped,retail
ORD-069,2025-04-29,North,wholesale,Home,Garden Trowel Set,20,599,11980,5,shipped,business
ORD-070,2025-05-06,East,retail,Sports,Weight Training Gloves,5,799,3995,0,shipped,retail
ORD-071,2025-05-13,West,online,Electronics,LED Desk Lamp,4,1799,7196,0,shipped,retail
ORD-072,2025-05-20,Central,direct,Apparel,Linen Shirt,3,1699,5097,0,returned,retail
ORD-073,2025-05-27,South,wholesale,Food,Sunflower Seeds 1kg,14,229,3206,8,shipped,business
ORD-074,2025-06-03,NE,online,Home,Ceramic Plant Pot Set,5,999,4995,0,shipped,retail
ORD-075,2025-06-10,North,retail,Sports,Dumbbell Set 10kg,2,8999,17998,5,shipped,retail
